location,orientation,ac_scenario,case_name,Cooling,Fans,Heating,Interior Equipment,Interior Lighting,Total End Uses,hvac
Balikpapan,South,No_AC,CeilingFan_NoSetback_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,CoolRoof_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,CoolRoof_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,CoolWall_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,CoolWall_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,HybridNV_OperationSchd_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,HybridNV_OperationSchd_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,HybridNV_WindowOpen_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,HybridNV_WindowOpen_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,InsRoof_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,InsRoof_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,InsWall_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,InsWall_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,LowEWin_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,LowEWin_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,Overhang_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,Shade_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,Shade_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,SolarWin_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,South,No_AC,SolarWin_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,Bedroom_AC_Only,Baseline,582.26,38.66,0.0,2176.06,501.28,3298.26,620.92
Balikpapan,West,Bedroom_AC_Only,CeilingFan_1,147.29,9.58,0.0,2176.06,501.28,2834.22,156.87
Balikpapan,West,Bedroom_AC_Only,CeilingFan_2,51.74,3.31,0.0,2176.06,501.28,2732.39,55.050000000000004
Balikpapan,West,Bedroom_AC_Only,CeilingFan_NoSetback_1,582.26,38.66,0.0,2176.06,501.28,3298.26,620.92
Balikpapan,West,Bedroom_AC_Only,CeilingFan_NoSetback_2,582.26,38.66,0.0,2176.06,501.28,3298.26,620.92
Balikpapan,West,Bedroom_AC_Only,CoolRoof_1,548.32,36.39,0.0,2176.06,501.28,3262.04,584.71
Balikpapan,West,Bedroom_AC_Only,CoolRoof_2,504.73,33.46,0.0,2176.06,501.28,3215.53,538.19
Balikpapan,West,Bedroom_AC_Only,CoolWall_1,517.14,34.32,0.0,2176.06,501.28,3228.81,551.46
Balikpapan,West,Bedroom_AC_Only,CoolWall_2,440.48,29.19,0.0,2176.06,501.28,3147.01,469.67
Balikpapan,West,Bedroom_AC_Only,HybridNV_OperationSchd_1,559.05,37.08,0.0,2176.06,501.28,3273.48,596.13
Balikpapan,West,Bedroom_AC_Only,HybridNV_OperationSchd_2,559.05,37.08,0.0,2176.06,501.28,3273.47,596.13
Balikpapan,West,Bedroom_AC_Only,HybridNV_WindowOpen_1,539.98,35.78,0.0,2176.06,501.28,3253.1,575.76
Balikpapan,West,Bedroom_AC_Only,HybridNV_WindowOpen_2,539.87,35.77,0.0,2176.06,501.28,3252.98,575.64
Balikpapan,West,Bedroom_AC_Only,InsRoof_1,496.34,32.91,0.0,2176.06,501.28,3206.59,529.25
Balikpapan,West,Bedroom_AC_Only,InsRoof_2,473.67,31.39,0.0,2176.06,501.28,3182.4,505.06
Balikpapan,West,Bedroom_AC_Only,InsWall_1,522.61,34.67,0.0,2176.06,501.28,3234.63,557.28
Balikpapan,West,Bedroom_AC_Only,InsWall_2,522.61,34.67,0.0,2176.06,501.28,3234.63,557.28
Balikpapan,West,Bedroom_AC_Only,LowEWin_1,506.24,33.59,0.0,2176.06,501.28,3217.18,539.83
Balikpapan,West,Bedroom_AC_Only,LowEWin_2,497.68,33.02,0.0,2176.06,501.28,3208.04,530.7
Balikpapan,West,Bedroom_AC_Only,Overhang_1,553.97,36.78,0.0,2176.06,501.28,3268.09,590.75
Balikpapan,West,Bedroom_AC_Only,Shade_1,582.96,38.58,0.0,2176.06,501.28,3298.89,621.5400000000001
Balikpapan,West,Bedroom_AC_Only,Shade_2,499.3,33.09,0.0,2176.06,501.28,3209.73,532.39
Balikpapan,West,Bedroom_AC_Only,SolarWin_1,500.84,33.22,0.0,2176.06,501.28,3211.41,534.06
Balikpapan,West,Bedroom_AC_Only,SolarWin_2,464.85,30.82,0.0,2176.06,501.28,3173.01,495.67
Balikpapan,West,FullHouse_AC,Baseline,822.39,54.54,0.0,2176.06,501.28,3554.27,876.93
Balikpapan,West,FullHouse_AC,CeilingFan_1,216.59,14.08,0.0,2176.06,501.28,2908.02,230.67000000000002
Balikpapan,West,FullHouse_AC,CeilingFan_2,78.88,5.05,0.0,2176.06,501.28,2761.28,83.92999999999999
Balikpapan,West,FullHouse_AC,CeilingFan_NoSetback_1,822.39,54.54,0.0,2176.06,501.28,3554.27,876.93
Balikpapan,West,FullHouse_AC,CeilingFan_NoSetback_2,822.39,54.54,0.0,2176.06,501.28,3554.27,876.93
Balikpapan,West,FullHouse_AC,CoolRoof_1,772.27,51.19,0.0,2176.06,501.28,3500.8,823.46
Balikpapan,West,FullHouse_AC,CoolRoof_2,708.0,46.89,0.0,2176.06,501.28,3432.23,754.89
Balikpapan,West,FullHouse_AC,CoolWall_1,730.04,48.39,0.0,2176.06,501.28,3455.77,778.43
Balikpapan,West,FullHouse_AC,CoolWall_2,618.03,40.9,0.0,2176.06,501.28,3336.27,658.93
Balikpapan,West,FullHouse_AC,HybridNV_OperationSchd_1,797.33,52.84,0.0,2176.06,501.28,3527.5,850.1700000000001
Balikpapan,West,FullHouse_AC,HybridNV_OperationSchd_2,797.32,52.84,0.0,2176.06,501.28,3527.49,850.1600000000001
Balikpapan,West,FullHouse_AC,HybridNV_WindowOpen_1,770.25,50.98,0.0,2176.06,501.28,3498.57,821.23
Balikpapan,West,FullHouse_AC,HybridNV_WindowOpen_2,770.11,50.98,0.0,2176.06,501.28,3498.42,821.09
Balikpapan,West,FullHouse_AC,InsRoof_1,693.83,45.96,0.0,2176.06,501.28,3417.13,739.7900000000001
Balikpapan,West,FullHouse_AC,InsRoof_2,660.02,43.69,0.0,2176.06,501.28,3381.05,703.71
Balikpapan,West,FullHouse_AC,InsWall_1,733.06,48.58,0.0,2176.06,501.28,3458.98,781.64
Balikpapan,West,FullHouse_AC,InsWall_2,733.06,48.58,0.0,2176.06,501.28,3458.98,781.64
Balikpapan,West,FullHouse_AC,LowEWin_1,714.13,47.33,0.0,2176.06,501.28,3438.8,761.46
Balikpapan,West,FullHouse_AC,LowEWin_2,701.54,46.49,0.0,2176.06,501.28,3425.37,748.03
Balikpapan,West,FullHouse_AC,Overhang_1,782.85,51.91,0.0,2176.06,501.28,3512.11,834.76
Balikpapan,West,FullHouse_AC,Shade_1,824.51,54.51,0.0,2176.06,501.28,3556.36,879.02
Balikpapan,West,FullHouse_AC,Shade_2,708.84,46.92,0.0,2176.06,501.28,3433.11,755.76
Balikpapan,West,FullHouse_AC,SolarWin_1,706.17,46.79,0.0,2176.06,501.28,3430.3,752.9599999999999
Balikpapan,West,FullHouse_AC,SolarWin_2,653.9,43.3,0.0,2176.06,501.28,3374.54,697.1999999999999
Balikpapan,West,No_AC,Baseline,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,CeilingFan_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,CeilingFan_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,CeilingFan_NoSetback_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,CeilingFan_NoSetback_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,CoolRoof_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,CoolRoof_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,CoolWall_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,CoolWall_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,HybridNV_OperationSchd_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,HybridNV_OperationSchd_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,HybridNV_WindowOpen_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,HybridNV_WindowOpen_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,InsRoof_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,InsRoof_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,InsWall_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,InsWall_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,LowEWin_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,LowEWin_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,Overhang_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,Shade_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,Shade_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,SolarWin_1,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Balikpapan,West,No_AC,SolarWin_2,0.0,0.0,0.0,2176.06,501.28,2677.34,0.0
Jakarta,South,Bedroom_AC_Only,Baseline,461.04,30.99,0.0,2176.06,501.28,3169.38,492.03000000000003
Jakarta,South,Bedroom_AC_Only,CeilingFan_1,99.64,6.51,0.0,2176.06,501.28,2783.5,106.15
Jakarta,South,Bedroom_AC_Only,CeilingFan_2,41.22,2.63,0.0,2176.06,501.28,2721.19,43.85
Jakarta,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,461.04,30.99,0.0,2176.06,501.28,3169.38,492.03000000000003
Jakarta,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,461.04,30.99,0.0,2176.06,501.28,3169.38,492.03000000000003
Jakarta,South,Bedroom_AC_Only,CoolRoof_1,422.17,28.36,0.0,2176.06,501.28,3127.87,450.53000000000003
