location,case_name,case_id,floor_area,end_use,Electricity [kWh]
JAKARTA,CeilingFan_NoSetback_2,17,28.76,Interior Equipment,2176.06
JAKARTA,CeilingFan_NoSetback_2,17,28.76,Fans,0.0
JAKARTA,CeilingFan_NoSetback_2,17,28.76,Total End Uses,2677.34
JAKARTA,Overhang_1,18,28.76,Heating,0.0
JAKARTA,Overhang_1,18,28.76,Cooling,0.0
JAKARTA,Overhang_1,18,28.76,Interior Lighting,501.28
JAKARTA,Overhang_1,18,28.76,Interior Equipment,2176.06
JAKARTA,Overhang_1,18,28.76,Fans,0.0
JAKARTA,Overhang_1,18,28.76,Total End Uses,2677.34
JAKARTA,Shade_1,19,28.76,Heating,0.0
JAKARTA,Shade_1,19,28.76,Cooling,0.0
JAKARTA,Shade_1,19,28.76,Interior Lighting,501.28
JAKARTA,Shade_1,19,28.76,Interior Equipment,2176.06
JAKARTA,Shade_1,19,28.76,Fans,0.0
JAKARTA,Shade_1,19,28.76,Total End Uses,2677.34
JAKARTA,Shade_2,20,28.76,Heating,0.0
JAKARTA,Shade_2,20,28.76,Cooling,0.0
JAKARTA,Shade_2,20,28.76,Interior Lighting,501.28
JAKARTA,Shade_2,20,28.76,Interior Equipment,2176.06
JAKARTA,Shade_2,20,28.76,Fans,0.0
JAKARTA,Shade_2,20,28.76,Total End Uses,2677.34
JAKARTA,HybridNV_WindowOpen_1,21,28.76,Heating,0.0
JAKARTA,HybridNV_WindowOpen_1,21,28.76,Cooling,0.0
JAKARTA,HybridNV_WindowOpen_1,21,28.76,Interior Lighting,501.28
JAKARTA,HybridNV_WindowOpen_1,21,28.76,Interior Equipment,2176.06
JAKARTA,HybridNV_WindowOpen_1,21,28.76,Fans,0.0
JAKARTA,HybridNV_WindowOpen_1,21,28.76,Total End Uses,2677.34
JAKARTA,HybridNV_WindowOpen_2,22,28.76,Heating,0.0
JAKARTA,HybridNV_WindowOpen_2,22,28.76,Cooling,0.0
JAKARTA,HybridNV_WindowOpen_2,22,28.76,Interior Lighting,501.28
JAKARTA,HybridNV_WindowOpen_2,22,28.76,Interior Equipment,2176.06
JAKARTA,HybridNV_WindowOpen_2,22,28.76,Fans,0.0
JAKARTA,HybridNV_WindowOpen_2,22,28.76,Total End Uses,2677.34
JAKARTA,HybridNV_OperationSchd_1,23,28.76,Heating,0.0
JAKARTA,HybridNV_OperationSchd_1,23,28.76,Cooling,0.0
JAKARTA,HybridNV_OperationSchd_1,23,28.76,Interior Lighting,501.28
JAKARTA,HybridNV_OperationSchd_1,23,28.76,Interior Equipment,2176.06
JAKARTA,HybridNV_OperationSchd_1,23,28.76,Fans,0.0
JAKARTA,HybridNV_OperationSchd_1,23,28.76,Total End Uses,2677.34
JAKARTA,HybridNV_OperationSchd_2,24,28.76,Heating,0.0
JAKARTA,HybridNV_OperationSchd_2,24,28.76,Cooling,0.0
JAKARTA,HybridNV_OperationSchd_2,24,28.76,Interior Lighting,501.28
JAKARTA,HybridNV_OperationSchd_2,24,28.76,Interior Equipment,2176.06
JAKARTA,HybridNV_OperationSchd_2,24,28.76,Fans,0.0
JAKARTA,HybridNV_OperationSchd_2,24,28.76,Total End Uses,2677.34
