location,orientation,ac_scenario,case_name,case_id,floor_area,end_use,Electricity [kWh]
Waingapu,South,Bedroom_AC_Only,SolarWin_1,12,28.76,Total End Uses,2999.91
Waingapu,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Heating,0.0
Waingapu,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Cooling,275.69
Waingapu,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Interior Lighting,501.28
Waingapu,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Interior Equipment,2176.06
Waingapu,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Fans,18.61
Waingapu,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Total End Uses,2971.64
Waingapu,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Heating,0.0
Waingapu,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Cooling,70.57
Waingapu,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Interior Lighting,501.28
Waingapu,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Interior Equipment,2176.06
Waingapu,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Fans,4.63
Waingapu,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Total End Uses,2752.55
Waingapu,South,Bedroom_AC_Only,CeilingFan_2,15,28.76,Heating,0.0
Waingapu,South,Bedroom_AC_Only,CeilingFan_2,15,28.76,Cooling,23.92
Waingapu,South,Bedroom_AC_Only,CeilingFan_2,15,28.76,Interior Lighting,501.28
Waingapu,South,Bedroom_AC_Only,CeilingFan_2,15,28.76,Interior Equipment,2176.06
Waingapu,South,Bedroom_AC_Only,CeilingFan_2,15,28.76,Fans,1.53
Waingapu,South,Bedroom_AC_Only,CeilingFan_2,15,28.76,Total End Uses,2702.79
Waingapu,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Heating,0.0
Waingapu,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Cooling,363.69
Waingapu,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Interior Lighting,501.28
Waingapu,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Interior Equipment,2176.06
Waingapu,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Fans,24.6
Waingapu,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Total End Uses,3065.63
Waingapu,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,17,28.76,Heating,0.0
Waingapu,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,17,28.76,Cooling,363.69
Waingapu,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,17,28.76,Interior Lighting,501.28
Waingapu,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,17,28.76,Interior Equipment,2176.06
Waingapu,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,17,28.76,Fans,24.6
Waingapu,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,17,28.76,Total End Uses,3065.63
Waingapu,South,Bedroom_AC_Only,Overhang_1,18,28.76,Heating,0.0
Waingapu,South,Bedroom_AC_Only,Overhang_1,18,28.76,Cooling,339.81
Waingapu,South,Bedroom_AC_Only,Overhang_1,18,28.76,Interior Lighting,501.28
Waingapu,South,Bedroom_AC_Only,Overhang_1,18,28.76,Interior Equipment,2176.06
Waingapu,South,Bedroom_AC_Only,Overhang_1,18,28.76,Fans,22.99
Waingapu,South,Bedroom_AC_Only,Overhang_1,18,28.76,Total End Uses,3040.15
Waingapu,South,Bedroom_AC_Only,Shade_1,19,28.76,Heating,0.0
Waingapu,South,Bedroom_AC_Only,Shade_1,19,28.76,Cooling,355.91
Waingapu,South,Bedroom_AC_Only,Shade_1,19,28.76,Interior Lighting,501.28
Waingapu,South,Bedroom_AC_Only,Shade_1,19,28.76,Interior Equipment,2176.06
Waingapu,South,Bedroom_AC_Only,Shade_1,19,28.76,Fans,23.96
Waingapu,South,Bedroom_AC_Only,Shade_1,19,28.76,Total End Uses,3057.21
Waingapu,South,Bedroom_AC_Only,Shade_2,20,28.76,Heating,0.0
Waingapu,South,Bedroom_AC_Only,Shade_2,20,28.76,Cooling,297.14
Waingapu,South,Bedroom_AC_Only,Shade_2,20,28.76,Interior Lighting,501.28
Waingapu,South,Bedroom_AC_Only,Shade_2,20,28.76,Interior Equipment,2176.06
Waingapu,South,Bedroom_AC_Only,Shade_2,20,28.76,Fans,20.05
Waingapu,South,Bedroom_AC_Only,Shade_2,20,28.76,Total End Uses,2994.53
Waingapu,South,Bedroom_AC_Only,HybridNV_WindowOpen_1,21,28.76,Heating,0.0
Waingapu,South,Bedroom_AC_Only,HybridNV_WindowOpen_1,21,28.76,Cooling,242.47
Waingapu,South,Bedroom_AC_Only,HybridNV_WindowOpen_1,21,28.76,Interior Lighting,501.28
Waingapu,South,Bedroom_AC_Only,HybridNV_WindowOpen_1,21,28.76,Interior Equipment,2176.06
Waingapu,South,Bedroom_AC_Only,HybridNV_WindowOpen_1,21,28.76,Fans,16.21
Waingapu,South,Bedroom_AC_Only,HybridNV_WindowOpen_1,21,28.76,Total End Uses,2936.02
Waingapu,South,Bedroom_AC_Only,HybridNV_WindowOpen_2,22,28.76,Heating,0.0
Waingapu,South,Bedroom_AC_Only,HybridNV_WindowOpen_2,22,28.76,Cooling,242.14
Waingapu,South,Bedroom_AC_Only,HybridNV_WindowOpen_2,22,28.76,Interior Lighting,501.28
Waingapu,South,Bedroom_AC_Only,HybridNV_WindowOpen_2,22,28.76,Interior Equipment,2176.06
Waingapu,South,Bedroom_AC_Only,HybridNV_WindowOpen_2,22,28.76,Fans,16.19
Waingapu,South,Bedroom_AC_Only,HybridNV_WindowOpen_2,22,28.76,Total End Uses,2935.67
Waingapu,South,Bedroom_AC_Only,HybridNV_OperationSchd_1,23,28.76,Heating,0.0
Waingapu,South,Bedroom_AC_Only,HybridNV_OperationSchd_1,23,28.76,Cooling,322.55
Waingapu,South,Bedroom_AC_Only,HybridNV_OperationSchd_1,23,28.76,Interior Lighting,501.28
Waingapu,South,Bedroom_AC_Only,HybridNV_OperationSchd_1,23,28.76,Interior Equipment,2176.06
Waingapu,South,Bedroom_AC_Only,HybridNV_OperationSchd_1,23,28.76,Fans,21.76
Waingapu,South,Bedroom_AC_Only,HybridNV_OperationSchd_1,23,28.76,Total End Uses,3021.65
Waingapu,South,Bedroom_AC_Only,HybridNV_OperationSchd_2,24,28.76,Heating,0.0
Waingapu,South,Bedroom_AC_Only,HybridNV_OperationSchd_2,24,28.76,Cooling,322.12
Waingapu,South,Bedroom_AC_Only,HybridNV_OperationSchd_2,24,28.76,Interior Lighting,501.28
Waingapu,South,Bedroom_AC_Only,HybridNV_OperationSchd_2,24,28.76,Interior Equipment,2176.06
Waingapu,South,Bedroom_AC_Only,HybridNV_OperationSchd_2,24,28.76,Fans,21.73
Waingapu,South,Bedroom_AC_Only,HybridNV_OperationSchd_2,24,28.76,Total End Uses,3021.19
Waingapu,South,No_AC,Baseline,25,28.76,Heating,0.0
Waingapu,South,No_AC,Baseline,25,28.76,Cooling,0.0
Waingapu,South,No_AC,Baseline,25,28.76,Interior Lighting,501.28
