location,orientation,ac_scenario,case_name,case_id,floor_area,end_use,Electricity [kWh]
Balikpapan,South,Bedroom_AC_Only,SolarWin_1,12,28.76,Fans,26.95
Balikpapan,South,Bedroom_AC_Only,SolarWin_1,12,28.76,Total End Uses,3111.37
Balikpapan,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Cooling,381.14
Balikpapan,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Fans,25.22
Balikpapan,South,Bedroom_AC_Only,SolarWin_2,13,28.76,Total End Uses,3083.7
Balikpapan,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Cooling,70.96
Balikpapan,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Fans,4.62
Balikpapan,South,Bedroom_AC_Only,CeilingFan_1,14,28.76,Total End Uses,2752.92
Balikpapan,South,Bedroom_AC_Only,CeilingFan_2,15,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,CeilingFan_2,15,28.76,Cooling,12.46
Balikpapan,South,Bedroom_AC_Only,CeilingFan_2,15,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,CeilingFan_2,15,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,CeilingFan_2,15,28.76,Fans,0.8
Balikpapan,South,Bedroom_AC_Only,CeilingFan_2,15,28.76,Total End Uses,2690.6
Balikpapan,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Cooling,464.83
Balikpapan,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Fans,30.82
Balikpapan,South,Bedroom_AC_Only,CeilingFan_NoSetback_1,16,28.76,Total End Uses,3173.0
Balikpapan,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,17,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,17,28.76,Cooling,464.83
Balikpapan,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,17,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,17,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,17,28.76,Fans,30.82
Balikpapan,South,Bedroom_AC_Only,CeilingFan_NoSetback_2,17,28.76,Total End Uses,3173.0
Balikpapan,South,Bedroom_AC_Only,Overhang_1,18,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,Overhang_1,18,28.76,Cooling,444.62
Balikpapan,South,Bedroom_AC_Only,Overhang_1,18,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,Overhang_1,18,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,Overhang_1,18,28.76,Fans,29.47
Balikpapan,South,Bedroom_AC_Only,Overhang_1,18,28.76,Total End Uses,3151.44
Balikpapan,South,Bedroom_AC_Only,Shade_1,19,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,Shade_1,19,28.76,Cooling,444.49
Balikpapan,South,Bedroom_AC_Only,Shade_1,19,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,Shade_1,19,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,Shade_1,19,28.76,Fans,29.43
Balikpapan,South,Bedroom_AC_Only,Shade_1,19,28.76,Total End Uses,3151.26
Balikpapan,South,Bedroom_AC_Only,Shade_2,20,28.76,Heating,0.0
Balikpapan,South,Bedroom_AC_Only,Shade_2,20,28.76,Cooling,400.14
Balikpapan,South,Bedroom_AC_Only,Shade_2,20,28.76,Interior Lighting,501.28
Balikpapan,South,Bedroom_AC_Only,Shade_2,20,28.76,Interior Equipment,2176.06
Balikpapan,South,Bedroom_AC_Only,Shade_2,20,28.76,Fans,26.48
Balikpapan,South,Bedroom_AC_Only,Shade_2,20,28.76,Total End Uses,3103.97
