#JobID,WeatherFile,ModelFile,bldgtype,vint,location,cz,ac,CoolRoof,CoolWall,InsRoof,InsWall,LowEWin,SolarWin,CeilingFan,NV_WindowOpen,NV_OperationSchd,FixedExteriorShading,OperableWindowShading,NV_WindowOpen,NV_OperationSchd,EnvelopePackage,WindowPackage,sizing,weather
SF_Oldest_JAKARTA_Cooled_LowEWin_Case2,IDN_JAKARTA-SOEKARNO-HA_967490_IW2.EPW,main.imf,SF,oldest,JAKARTA,nan,Cooled,0,0,0,0,2,0,0,0,0,0,0,0,0,0,LowE,fixed,TMY
SF_Oldest_JAKARTA_Cooled_SolarWin_Case1,IDN_JAKARTA-SOEKARNO-HA_967490_IW2.EPW,main.imf,SF,oldest,JAKARTA,nan,Cooled,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Solar,fixed,TMY
SF_Oldest_JAKARTA_Cooled_SolarWin_Case2,IDN_JAKARTA-SOEKARNO-HA_967490_IW2.EPW,main.imf,SF,oldest,JAKARTA,nan,Cooled,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Solar,fixed,TMY
SF_Oldest_JAKARTA_Cooled_CeilingFan_Case1,IDN_JAKARTA-SOEKARNO-HA_967490_IW2.EPW,main.imf,SF,oldest,JAKARTA,nan,Cooled,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Clear,fixed,TMY
SF_Oldest_JAKARTA_Cooled_CeilingFan_Case2,IDN_JAKARTA-SOEKARNO-HA_967490_IW2.EPW,main.imf,SF,oldest,JAKARTA,nan,Cooled,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Clear,fixed,TMY
SF_Oldest_JAKARTA_Cooled_Overhang_Case1,IDN_JAKARTA-SOEKARNO-HA_967490_IW2.EPW,main.imf,SF,oldest,JAKARTA,nan,Cooled,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Clear,fixed,TMY
SF_Oldest_JAKARTA_Cooled_Shade_Case1,IDN_JAKARTA-SOEKARNO-HA_967490_IW2.EPW,main.imf,SF,oldest,JAKARTA,nan,Cooled,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Clear,fixed,TMY
SF_Oldest_JAKARTA_Cooled_Shade_Case2,IDN_JAKARTA-SOEKARNO-HA_967490_IW2.EPW,main.imf,SF,oldest,JAKARTA,nan,Cooled,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Clear,fixed,TMY
SF_Oldest_JAKARTA_NV_WindowOpen_Case1,IDN_JAKARTA-SOEKARNO-HA_967490_IW2.EPW,main.imf,SF,oldest,JAKARTA,nan,NV,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Clear,fixed,TMY
SF_Oldest_JAKARTA_NV_WindowOpen_Case2,IDN_JAKARTA-SOEKARNO-HA_967490_IW2.EPW,main.imf,SF,oldest,JAKARTA,nan,NV,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Clear,fixed,TMY
SF_Oldest_JAKARTA_NV_OperationSchd_Case1,IDN_JAKARTA-SOEKARNO-HA_967490_IW2.EPW,main.imf,SF,oldest,JAKARTA,nan,NV,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Clear,fixed,TMY
SF_Oldest_JAKARTA_NV_OperationSchd_Case2,IDN_JAKARTA-SOEKARNO-HA_967490_IW2.EPW,main.imf,SF,oldest,JAKARTA,nan,NV,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Clear,fixed,TMY
